Year,Player Name,Club
2009,Chris Judd,Carlton
2009,Leon Davis,Collingwood
2009,Nick Maxwell,Collingwood
2009,Dane Swan,Collingwood
2009,Aaron Sandilands,Fremantle
2009,Gary Ablett jnr,Geelong
2009,Paul Chapman,Geelong
2009,Corey Enright,Geelong
2009,Matthew Scarlett,Geelong
2009,Joel Selwood,Geelong
2009,Nick Dal Santo,St Kilda
2009,Brendon Goddard,St Kilda
2009,Lenny Hayes,St Kilda
2009,Leigh Montagna,St Kilda
2009,Nick Riewoldt,St Kilda
2009,Craig Bolton,Sydney Swans
2009,Adam Goodes,Sydney Swans
2009,Matthew Boyd,Western Bulldogs
2009,Brian Lake,Western Bulldogs
2008,Nathan Bock,Adelaide
2008,Brendan Fevola,Carlton
2008,Chris Judd,Carlton
2008,Paul Medhurst,Collingwood
2008,Matthew Pavlich,Fremantle
2008,Aaron Sandilands,Fremantle
2008,Gary Ablett jnr,Geelong
2008,Jimmy Bartel,Geelong
2008,Joel Corey,Geelong
2008,Corey Enright,Geelong
2008,Tom Harley,Geelong
2008,Steve Johnson,Geelong
2008,Matthew Scarlett,Geelong
2008,Lance Franklin,Hawthorn
2008,Luke Hodge,Hawthorn
2008,Brent Harvey,North Melbourne
2008,Matthew Richardson,Richmond
2008,Sam Fisher,St Kilda
2008,Nick Riewoldt,St Kilda
2008,Dean Cox,West Coast
2008,Adam Cooney,Western Bulldogs
2008,Dale Morris,Western Bulldogs
2007,Andrew McLeod,Adelaide
2007,Jonathan Brown,Brisbane Lions
2007,Dustin Fletcher,Essendon
2007,Matthew Pavlich,Fremantle
2007,Gary Ablett jnr,Geelong
2007,Jimmy Bartel,Geelong
2007,Joel Corey,Geelong
2007,Matthew Egan,Geelong
2007,Steve Johnson,Geelong
2007,Cameron Ling,Geelong
2007,Darren Milburn,Geelong
2007,Cameron Mooney,Geelong
2007,Matthew Scarlett,Geelong
2007,Campbell Brown,Hawthorn
2007,Brent Harvey,North Melbourne
